                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.2323,                 1.5647,                 1.2006,                0.37301,                0.35247,                 0.3104,                0.13007,                 2.1042,                 1.8845,                 1.3004,              0.0009704,              0.0009704,              0.0009704
                     55,                  2.242,                 1.5774,                 1.2286,                0.36186,                0.38828,                0.31914,                 0.1346,                 2.0952,                 1.8085,                 1.2937,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.1495,                  1.548,                 1.2132,                0.37364,                0.39885,                0.33081,                0.13567,                 2.0983,                 1.7422,                 1.2994,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.1722,                 1.5558,                  1.215,                0.37364,                0.39885,                0.33081,                0.13567,                 2.0983,                 1.7422,                 1.2994,               0.000911,               0.000911,               0.000911
                     58,                  2.185,                 1.5292,                 1.2079,                0.39171,                0.41674,                0.35394,                0.14397,                 2.1027,                 1.7024,                  1.305,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.1891,                 1.5452,                 1.2189,                0.39146,                 0.3752,                0.32779,                0.13271,                 2.1504,                 1.7259,                  1.322,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.1185,                 1.5211,                  1.188,                0.37869,                0.38996,                0.31067,                0.12187,                 2.1521,                 1.7397,                 1.3168,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.1519,                 1.5377,                  1.192,                0.37869,                0.38996,                0.31067,                0.12187,                 2.1521,                 1.7397,                 1.3168,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.1538,                 1.5856,                 1.2125,                0.35024,                0.37657,                0.28321,                0.11202,                 2.1406,                  1.777,                 1.3142,               0.000812,               0.000812,               0.000812
                     63,                 2.1461,                 1.5488,                 1.1982,                0.34872,                0.36485,                0.27529,                0.11138,                 2.1285,                 1.7989,                 1.3062,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.1947,                 1.5618,                 1.2109,                 0.3347,                0.33724,                0.27239,                0.11056,                 2.1473,                 1.8339,                  1.312,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.1593,                 1.4897,                 1.1963,                 0.3347,                0.33724,                0.27239,                0.11056,                 2.1473,                 1.8339,                  1.312,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.1373,                 1.5001,                 1.1901,                0.37814,                0.35983,                0.30907,                0.12289,                 2.1645,                  1.793,                 1.3176,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.1622,                 1.5478,                 1.2144,                0.42144,                0.40084,                0.35261,                0.14109,                  2.133,                 1.6633,                 1.3151,               0.000713,               0.000713,               0.000713
                     68,                 2.1149,                 1.5451,                 1.1989,                0.44007,                0.44017,                0.36458,                0.14529,                 2.1297,                 1.6103,                 1.3276,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.1379,                 1.5288,                 1.2187,                0.44007,                0.44017,                0.36458,                0.14529,                 2.1297,                 1.6103,                 1.3276,              0.0006734,              0.0006734,              0.0006734
                     70,                  2.194,                 1.6055,                 1.2134,                0.43115,                0.45349,                0.36901,                0.14683,                 2.1276,                 1.5979,                 1.3285,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.1736,                 1.5926,                 1.2239,                0.43817,                0.44603,                0.37704,                0.15247,                 2.1041,                 1.5826,                 1.3065,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.1572,                 1.5009,                 1.1926,                0.40479,                0.44184,                0.36281,                0.14686,                  2.116,                 1.5921,                 1.2958,               0.000614,               0.000614,               0.000614
                     73,                 2.1242,                 1.4685,                 1.1832,                0.40479,                0.44184,                0.36281,                0.14686,                  2.116,                 1.5921,                 1.2958,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.1759,                 1.5615,                 1.1993,                 0.3873,                0.45021,                0.34868,                0.13947,                 2.1191,                 1.6135,                 1.2803,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.1012,                 1.4936,                 1.1891,                0.39798,                0.41172,                0.33674,                0.13807,                 2.1165,                 1.6472,                 1.2741,              0.0005546,              0.0005546,              0.0005546
                     76,                  2.101,                 1.5173,                 1.2019,                0.39244,                0.40107,                0.32707,                0.13502,                 2.1306,                 1.6769,                 1.2821,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.1163,                  1.461,                 1.1749,                0.39244,                0.40107,                0.32707,                0.13502,                 2.1306,                 1.6769,                 1.2821,               0.000515,               0.000515,               0.000515
                     78,                 2.1286,                 1.4388,                 1.1839,                0.36972,                0.38485,                0.31225,                0.12832,                  2.158,                 1.7155,                 1.2922,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.0871,                  1.452,                 1.1753,                 0.3417,                0.34895,                0.28461,                0.12086,                 2.1491,                 1.7764,                 1.2835,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.0601,                 1.4402,                 1.1876,                0.32421,                0.33808,                0.27699,                0.11744,                 2.1563,                 1.8192,                 1.2786,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.0786,                 1.4674,                 1.1701,                0.32421,                0.33808,                0.27699,                0.11744,                 2.1563,                 1.8192,                 1.2786,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.0731,                 1.4283,                 1.1778,                0.32748,                0.33054,                0.28317,                0.11846,                 2.1528,                 1.8071,                 1.2693,               0.000416,               0.000416,               0.000416
                     83,                 2.1339,                 1.4465,                 1.1913,                0.30981,                 0.3431,                0.27846,                0.11577,                  2.169,                 1.8019,                 1.2709,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.0991,                 1.4361,                 1.1809,                0.33332,                0.36151,                0.28814,                0.11949,                 2.1696,                 1.7682,                 1.2733,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.1004,                 1.4433,                 1.1989,                0.33332,                0.36151,                0.28814,                0.11949,                 2.1696,                 1.7682,                 1.2733,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.1082,                 1.4549,                 1.1966,                0.36223,                0.38661,                 0.3099,                0.12734,                 2.1678,                 1.7194,                 1.2834,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.0898,                 1.4515,                 1.1912,                0.37693,                0.39749,                0.31734,                 0.1309,                 2.1652,                 1.6972,                 1.2883,               0.000317,               0.000317,               0.000317
                     88,                 2.1517,                 1.4531,                 1.1755,                0.36961,                0.41172,                0.31624,                0.13088,                 2.1681,                  1.704,                 1.2866,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.1246,                 1.4248,                 1.1588,                0.36961,                0.41172,                0.31624,                0.13088,                 2.1681,                  1.704,                 1.2866,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.0845,                 1.4277,                 1.1964,                0.37919,                0.41339,                0.31932,                0.13325,                 2.1634,                 1.7038,                 1.2832,              0.0002576,              0.0002576,              0.0002576
                     91,                 2.1404,                 1.6311,                 1.1987,                0.38081,                0.40555,                0.32203,                0.13444,                 2.1502,                 1.6944,                 1.2769,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.0594,                 1.4901,                 1.1863,                0.38509,                0.41757,                0.32778,                0.13712,                 2.1361,                 1.6866,                 1.2721,               0.000218,               0.000218,               0.000218
                     93,                 2.0345,                 1.4591,                  1.185,                0.38509,                0.41757,                0.32778,                0.13712,                 2.1361,                 1.6866,                 1.2721,              0.0001982,              0.0001982,              0.0001982
                     94,                 2.0797,                 1.5092,                 1.1876,                0.40102,                0.41963,                0.33758,                0.14055,                 2.1158,                 1.6657,                  1.268,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.1026,                 1.4917,                 1.2058,                0.40451,                0.43431,                0.34467,                0.14301,                 2.0928,                  1.652,                 1.2618,              0.0001586,              0.0001586,              0.0001586
                     96,                 2.0621,                  1.503,                 1.2214,                0.41247,                0.42762,                0.34276,                0.14318,                 2.0808,                  1.653,                 1.2564,              0.0001388,              0.0001388,              0.0001388
                     97,                  2.081,                 1.4864,                 1.2029,                0.41247,                0.42762,                0.34276,                0.14318,                 2.0808,                  1.653,                 1.2564,               0.000119,               0.000119,               0.000119
                     98,                  2.029,                 1.4632,                 1.2022,                0.42467,                0.42259,                0.34744,                0.14445,                 2.0709,                 1.6515,                 1.2533,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 2.0921,                 1.5151,                 1.2052,                0.41738,                0.41423,                0.34409,                0.14423,                 2.0661,                 1.6542,                 1.2527,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 2.0417,                 1.4688,                 1.1838,                0.41198,                0.42008,                0.34602,                0.14464,                 2.0611,                 1.6537,                 1.2508,               5.96e-05,               5.96e-05,               5.96e-05
